Date,Total (house and land),House only,Land only
Jan-81,38.2,36.1,40.6
Feb-81,38.7,36.5,41
Mar-81,39.3,37.3,41.1
Apr-81,39.9,38.1,41.2
May-81,40.6,38.9,41.5
Jun-81,40.8,39.1,41.6
Jul-81,40.8,39.2,41.6
Aug-81,40.6,39,41.5
Sep-81,40.4,39,40.9
Oct-81,40.3,38.8,40.9
Nov-81,40.2,38.8,40.4
Dec-81,40.3,38.9,40.5
Jan-82,40.3,39.1,40.5
Feb-82,40.3,38.9,40.6
Mar-82,40.1,38.6,40.7
Apr-82,39.9,38.5,40.6
May-82,39.6,38.1,40.1
Jun-82,39.3,38.1,39.5
Jul-82,39,38,38.5
Aug-82,38.8,37.8,38.2
Sep-82,38.4,37.6,37.5
Oct-82,38.3,37.4,37.5
Nov-82,38,37.3,37
Dec-82,37.9,37.2,37
Jan-83,37.9,37.3,36.8
Feb-83,37.9,37.2,36.8
Mar-83,37.8,37.2,37
Apr-83,37.8,37,37.2
May-83,37.7,36.9,37.2
Jun-83,37.8,37,37.4
Jul-83,37.8,37,37.4
Aug-83,38,37.2,37.2
Sep-83,38,37.2,37.3
Oct-83,37.9,37.2,37.2
Nov-83,38,37.3,37.4
Dec-83,37.9,37.2,37.2
Jan-84,38,37.2,37.3
Feb-84,38,37.4,37.3
Mar-84,38.1,37.5,37.3
Apr-84,38.2,37.6,37.4
May-84,38.2,37.6,37.4
Jun-84,38.1,37.4,37.4
Jul-84,38.1,37.4,37.4
Aug-84,38,37.3,37.4
Sep-84,37.9,37.2,37.3
Oct-84,37.9,37.2,37.2
Nov-84,37.8,37.2,37
Dec-84,37.9,37.3,37
Jan-85,38,37.4,37.1
Feb-85,38,37.4,37.2
Mar-85,38.1,37.5,37.3
Apr-85,38.1,37.5,37.3
May-85,38.1,37.4,37.5
Jun-85,38.3,37.6,37.8
Jul-85,38.4,37.7,37.8
Aug-85,38.5,38,38
Sep-85,38.8,38.1,38.2
Oct-85,38.9,38.4,38.2
Nov-85,39.2,38.6,38.3
Dec-85,39.3,38.7,38.4
Jan-86,39.8,39.4,38.8
Feb-86,40.3,39.9,39.2
Mar-86,40.6,40.2,39.3
Apr-86,40.8,40.6,39.3
May-86,41.1,40.9,39.5
Jun-86,41.3,41.2,39.7
Jul-86,41.6,41.4,39.8
Aug-86,42,41.9,40.1
Sep-86,42.8,42.9,40.6
Oct-86,43.2,43.4,40.6
Nov-86,43.8,44.1,41
Dec-86,44,44.4,41
Jan-87,44.4,44.8,41.1
Feb-87,45.2,45.9,41.3
Mar-87,46.6,47.3,42.7
Apr-87,47.1,48,43.1
May-87,47.5,48.3,43.5
Jun-87,47.7,48.6,43.6
Jul-87,48,48.8,43.9
Aug-87,48.2,49,44.2
Sep-87,48.7,49.2,45.4
Oct-87,48.9,49.3,45.6
Nov-87,49.1,49.5,45.9
Dec-87,49.1,49.5,46.1
Jan-88,49.3,49.7,46.4
Feb-88,49.8,50.1,46.9
Mar-88,50.3,50.6,47.4
Apr-88,51.2,51.5,48.3
May-88,51.9,52.1,49.3
Jun-88,52.3,52.4,50.3
Jul-88,52.5,52.5,50.6
Aug-88,53,53,50.9
Sep-88,53.9,53.8,52.3
Oct-88,54.3,54.1,52.8
Nov-88,55,54.4,54.3
Dec-88,55.8,54.6,56.2
Jan-89,56.3,54.7,57.6
Feb-89,57.7,55.6,60.3
Mar-89,58.6,56.1,62.5
Apr-89,59.1,56.4,63.4
May-89,59.3,56.5,63.6
Jun-89,59.6,56.9,64
Jul-89,59.8,56.9,64.5
Aug-89,59.8,56.9,64.7
Sep-89,60.1,57.1,65.2
Oct-89,60.4,57.4,65.5
Nov-89,60.8,57.6,66.6
Dec-89,61.1,57.9,67
Jan-90,61.7,58.4,67.6
Feb-90,61.8,58.4,68
Mar-90,61.9,58.5,68.4
Apr-90,61.8,58.3,68.5
May-90,61.5,57.9,68.6
Jun-90,60.8,56.8,68.3
Jul-90,60.4,56.3,68.3
Aug-90,59.8,55.7,67.6
Sep-90,59,55,66.6
Oct-90,58.6,54.3,66.5
Nov-90,58,53.6,66.1
Dec-90,57.8,53.4,66.1
Jan-91,56.9,52.6,65.1
Feb-91,55.8,51.7,63.6
Mar-91,56,52,63.8
Apr-91,55.8,51.7,63.9
May-91,56.2,52.4,64
Jun-91,56.2,52.4,64
Jul-91,56.3,52.4,64.3
Aug-91,56.2,52.3,64.2
Sep-91,56.2,52.3,64.2
Oct-91,56.2,52.4,64.1
Nov-91,55.9,52.1,63.9
Dec-91,55.9,52.1,64
Jan-92,55.8,52,63.9
Feb-92,55.8,51.8,64
Mar-92,55.9,51.9,64.3
Apr-92,56,52,64.7
May-92,56,51.9,64.9
Jun-92,56.2,52,65.1
Jul-92,56.3,52,66
Aug-92,56.3,51.9,65.9
Sep-92,56.2,51.7,66
Oct-92,56.3,51.7,66.4
Nov-92,56.3,52,66.3
Dec-92,56.3,51.9,66.4
Jan-93,56.2,51.8,66.4
Feb-93,56.4,52,66.6
Mar-93,56.7,52.3,67
Apr-93,57,52.6,67.2
May-93,56.8,52.2,67.4
Jun-93,56.9,52.4,67.6
Jul-93,57,52.3,67.8
Aug-93,57.1,52.5,67.8
Sep-93,57.1,52.6,67.8
Oct-93,57,52.5,67.7
Nov-93,57,52.5,67.7
Dec-93,56.9,52.4,67.7
Jan-94,57,52.4,67.8
Feb-94,56.9,52.4,67.6
Mar-94,56.9,52.3,67.7
Apr-94,56.9,52.4,67.7
May-94,56.9,52.3,67.8
Jun-94,57,52.4,67.8
Jul-94,56.9,52.3,67.8
Aug-94,57,52.4,67.8
Sep-94,57,52.4,67.8
Oct-94,56.9,52.4,67.8
Nov-94,56.8,52.3,67.7
Dec-94,56.8,52.3,67.6
Jan-95,56.8,52.3,67.6
Feb-95,56.7,52.2,67.4
Mar-95,56.6,52.2,67.4
Apr-95,56.5,52.1,67.4
May-95,56.4,52,67.2
Jun-95,56.3,51.8,67
Jul-95,56.2,51.8,66.9
Aug-95,56.2,51.8,67
Sep-95,56.2,51.7,66.9
Oct-95,55.9,51.4,66.6
Nov-95,55.6,51.3,66.4
Dec-95,55.7,51.3,66.4
Jan-96,55.6,51.3,66.4
Feb-96,55.4,51,66.4
Mar-96,55.3,50.9,66.3
Apr-96,55.1,50.6,66.3
May-96,55,50.5,66.3
Jun-96,55.1,50.6,66.3
Jul-96,55,50.6,66.3
Aug-96,55,50.6,66.2
Sep-96,55,50.6,66.1
Oct-96,55,50.6,66.1
Nov-96,55.2,50.8,66.1
Dec-96,55.2,50.8,66.2
Jan-97,55.3,51,66.2
Feb-97,55.4,51.1,66.3
Mar-97,55.5,51.2,66.2
Apr-97,55.5,51.3,66.1
May-97,55.6,51.3,66.2
Jun-97,55.6,51.4,66.3
Jul-97,55.6,51.4,66.3
Aug-97,55.6,51.4,66.3
Sep-97,55.6,51.4,66.3
Oct-97,55.6,51.4,66.3
Nov-97,55.8,51.7,66.3
Dec-97,55.9,51.8,66.4
Jan-98,56,51.9,66.4
Feb-98,56,52,66.4
Mar-98,56,52,66.4
Apr-98,56,52,66.4
May-98,56.1,52.1,66.4
Jun-98,56.2,52.2,66.5
Jul-98,56.2,52.3,66.5
Aug-98,56.2,52.2,66.6
Sep-98,56.2,52.2,66.6
Oct-98,56.2,52.3,66.4
Nov-98,56.2,52.3,66.4
Dec-98,56.3,52.3,66.6
Jan-99,56.3,52.3,66.6
Feb-99,56.3,52.4,66.6
Mar-99,56.4,52.5,66.6
Apr-99,56.4,52.6,66.6
May-99,56.4,52.6,66.5
Jun-99,56.4,52.7,66.6
Jul-99,56.5,52.8,66.6
Aug-99,56.7,53,66.6
Sep-99,56.8,53.2,66.7
Oct-99,56.9,53.3,66.8
Nov-99,57.1,53.6,66.8
Dec-99,57.2,53.7,66.8
Jan-00,57.2,53.7,66.8
Feb-00,57.4,54,66.8
Mar-00,57.5,54.1,66.9
Apr-00,57.6,54.2,66.9
May-00,57.8,54.4,67
Jun-00,57.8,54.4,67
Jul-00,57.9,54.5,67.1
Aug-00,58.1,54.7,67.2
Sep-00,58.2,54.9,67.3
Oct-00,58.3,55,67.4
Nov-00,58.5,55.3,67.4
Dec-00,58.6,55.3,67.4
Jan-01,58.7,55.5,67.4
Feb-01,58.8,55.7,67.5
Mar-01,59,55.9,67.5
Apr-01,59.2,56.1,67.6
May-01,59.3,56.2,67.7
Jun-01,59.5,56.5,67.8
Jul-01,59.6,56.7,67.8
Aug-01,59.7,56.8,67.8
Sep-01,59.9,56.9,67.8
Oct-01,59.9,57,67.9
Nov-01,60.1,57.2,68
Dec-01,60.2,57.3,67.9
Jan-02,60.4,57.6,68
Feb-02,60.8,58.1,68.1
Mar-02,61,58.3,68.2
Apr-02,61.4,58.9,68.3
May-02,61.8,59.3,68.5
Jun-02,61.9,59.5,68.5
Jul-02,62,59.6,68.5
Aug-02,62.3,59.9,68.7
Sep-02,62.4,60.1,68.7
Oct-02,62.7,60.6,68.8
Nov-02,63.1,61.1,68.9
Dec-02,63.3,61.2,69
Jan-03,63.4,61.5,69.1
Feb-03,63.8,62,69.1
Mar-03,63.9,62,69.1
Apr-03,64.1,62.3,69.2
May-03,64.5,62.7,69.4
Jun-03,64.7,62.9,69.5
Jul-03,64.9,63.2,69.5
Aug-03,65.2,63.6,69.7
Sep-03,65.5,63.9,69.9
Oct-03,65.8,64.3,70
Nov-03,66.3,64.9,70
Dec-03,66.5,65.1,70.1
Jan-04,66.7,65.3,70.2
Feb-04,66.9,65.7,70.3
Mar-04,67.2,65.9,70.5
Apr-04,67.7,66.5,70.9
May-04,68.2,67.1,71.2
Jun-04,68.7,67.6,71.7
Jul-04,68.8,67.7,71.8
Aug-04,69.1,68,72.1
Sep-04,69.3,68.2,72.3
Oct-04,69.5,68.5,72.4
Nov-04,69.8,68.8,72.6
Dec-04,69.9,68.9,72.9
Jan-05,70.1,69.1,73
Feb-05,70.3,69.3,73.1
Mar-05,70.6,69.6,73.5
Apr-05,71,69.9,73.8
May-05,71.3,70.3,74.2
Jun-05,71.9,70.4,75.5
Jul-05,72,70.6,75.6
Aug-05,72.3,70.9,75.9
Sep-05,72.7,71.3,76.2
Oct-05,73.2,71.9,76.4
Nov-05,73.6,72.3,76.8
Dec-05,74.1,72.8,77.1
Jan-06,74.7,73.6,77.4
Feb-06,75.2,74.2,77.7
Mar-06,76,75,78.3
Apr-06,76.9,76.1,78.8
May-06,77.8,76.9,80
Jun-06,79,78,81.1
Jul-06,79.8,78.7,82.3
Aug-06,81,80,83.3
Sep-06,81.4,80.4,83.9
Oct-06,81.6,80.5,84.1
Nov-06,82,80.8,84.9
Dec-06,82,80.7,85.3
Jan-07,82.3,81,85.5
Feb-07,82.7,81.4,85.8
Mar-07,83,81.7,86.2
Apr-07,83.7,82.3,87.1
May-07,84.6,83.3,87.7
Jun-07,85.1,83.7,88.5
Jul-07,85.9,84.3,89.7
Aug-07,86.3,84.8,89.9
Sep-07,86.5,85.1,90
Oct-07,86.6,85.1,90.3
Nov-07,87,85.5,90.7
Dec-07,87.1,85.6,90.9
Jan-08,87.6,86.1,91.4
Feb-08,87.9,86.3,91.8
Mar-08,88.1,86.4,92.2
Apr-08,88.1,86.3,92.4
May-08,88.1,86.2,92.5
Jun-08,88.2,86.3,92.7
Jul-08,88.2,86.3,92.8
Aug-08,88.2,86.3,92.9
Sep-08,88.3,86.3,93.1
Oct-08,87.9,85.6,93.4
Nov-08,87.7,85.2,93.5
Dec-08,87.5,85,93.4
Jan-09,87,84.5,92.9
Feb-09,86.4,83.8,92.3
Mar-09,86,83.3,91.9
Apr-09,85.5,82.7,91.8
May-09,85.4,82.6,91.5
Jun-09,85.2,82.5,91.3
Jul-09,85.4,82.8,91.3
Aug-09,85.5,82.9,91.3
Sep-09,85.9,83.5,91.3
Oct-09,86.1,83.8,91.2
Nov-09,86.4,84.2,91.4
Dec-09,86.7,84.7,91.3
Jan-10,87.1,85.2,91.4
Feb-10,87.1,85.3,91.2
Mar-10,87.4,85.8,90.9
Apr-10,87.6,86,91
May-10,87.9,86.4,91.2
Jun-10,88,86.6,91.2
Jul-10,87.9,86.5,91
Aug-10,88,86.6,91
Sep-10,88.1,86.6,91.5
Oct-10,88.2,86.6,91.5
Nov-10,88.4,86.8,91.8
Dec-10,88.4,86.7,92
Jan-11,88.6,87,92.1
Feb-11,89,87.3,92.4
Mar-11,89,87.4,92.3
Apr-11,89.2,87.8,92.4
May-11,89.6,88.2,92.7
Jun-11,89.8,88.5,92.8
Jul-11,89.9,88.5,92.9
Aug-11,90,88.6,93
Sep-11,90.1,88.8,93
Oct-11,90.3,89,93.2
Nov-11,90.6,89.3,93.4
Dec-11,90.7,89.3,93.6
Jan-12,90.8,89.4,93.8
Feb-12,91,89.6,93.9
Mar-12,91.3,89.9,94.1
Apr-12,91.5,90.2,94.2
May-12,91.7,90.4,94.4
Jun-12,91.9,90.7,94.6
Jul-12,92,90.7,94.6
Aug-12,92.1,90.9,94.6
Sep-12,92.3,91.1,94.8
Oct-12,92.5,91.4,94.8
Nov-12,92.6,91.5,94.8
Dec-12,92.7,91.7,94.9
Jan-13,92.8,91.8,95
Feb-13,93,91.9,95.2
Mar-13,93,92,95.2
Apr-13,93.2,92.2,95.3
May-13,93.4,92.4,95.4
Jun-13,93.5,92.5,95.5
Jul-13,93.6,92.7,95.6
Aug-13,93.7,92.8,95.7
Sep-13,93.8,92.8,95.7
Oct-13,93.8,92.9,95.7
Nov-13,93.9,92.9,95.8
Dec-13,93.9,93,95.8
Jan-14,94.1,93.3,95.9
Feb-14,94.4,93.6,96
Mar-14,94.5,93.7,96.1
Apr-14,94.7,94,96.2
May-14,94.8,94.1,96.3
Jun-14,94.9,94.3,96.4
Jul-14,94.9,94.3,96.4
Aug-14,95.2,94.5,96.6
Sep-14,95.3,94.6,96.6
Oct-14,95.4,94.7,96.7
Nov-14,95.5,94.8,96.8
Dec-14,95.5,94.9,96.8
Jan-15,95.5,94.8,96.9
Feb-15,95.6,95,97
Mar-15,95.7,95,97
Apr-15,95.7,95.1,97
May-15,95.9,95.1,97.6
Jun-15,96.1,95.3,97.9
Jul-15,96.2,95.5,97.9
Aug-15,96.5,95.8,98
Sep-15,96.6,95.9,98
Oct-15,96.8,96.2,98.1
Nov-15,96.9,96.4,98.1
Dec-15,97,96.5,98.1
Jan-16,97.1,96.7,98.1
Feb-16,97.3,97,98.1
Mar-16,97.5,97.2,98.1
Apr-16,97.7,97.6,98.1
May-16,98.5,98.5,98.5
Jun-16,98.6,98.5,98.6
Jul-16,99,99,98.7
Aug-16,99.1,99.3,98.7
Sep-16,99.3,99.3,99
Oct-16,99.7,99.8,99.5
Nov-16,99.9,99.9,100
Dec-16,100,100,100
Jan-17,100.1,99.9,100.4
Feb-17,100.5,100.2,100.9
Mar-17,100.7,100.4,101.3
Apr-17,101.5,101.2,102.3
May-17,102.2,101.7,103.1
Jun-17,102.4,102.1,103.1
Jul-17,102.8,102.7,103.3
Aug-17,102.9,102.8,103.3
Sep-17,103.1,102.9,103.6
Oct-17,103.2,103.1,103.6
Nov-17,103.3,103.2,103.6
Dec-17,103.3,103.2,103.7
Jan-18,103.3,103.2,103.7
Feb-18,103.1,102.9,103.8
Mar-18,103.1,102.9,103.7
Apr-18,103.1,102.7,103.7
May-18,103.1,102.7,103.8
Jun-18,103.2,103,103.9
Jul-18,103.3,103.1,103.9
Aug-18,103.3,103,103.9
Sep-18,103.3,102.9,104
Oct-18,103.3,102.9,104
Nov-18,103.3,102.9,104.1
Dec-18,103.3,102.9,104.1
Jan-19,103.2,102.8,104.1
Feb-19,103.2,102.8,104.1
Mar-19,103.2,102.8,104.1
Apr-19,103.2,102.6,104.1
May-19,103.1,102.5,104.2
Jun-19,103,102.4,104.2
Jul-19,102.9,102.2,104.1
Aug-19,103,102.3,104.2
Sep-19,103.2,102.6,104.2
Oct-19,103.3,102.7,104.2
Nov-19,103.2,102.5,104.3
Dec-19,103.4,102.8,104.4
Jan-20,103.4,102.6,104.8
Feb-20,103.8,103.1,105
Mar-20,104.1,103.5,105.1
Apr-20,104.1,103.5,105.1
May-20,104.2,103.6,105.1
Jun-20,104.3,103.7,105.2
Jul-20,104.7,103.9,105.9
Aug-20,105.2,104.6,106.3
Sep-20,106.5,106.1,106.8
Oct-20,107.3,107.3,107.4
Nov-20,107.9,108,107.8
Dec-20,108.2,108.3,108
Jan-21,109,109.3,108.4
Feb-21,111.1,111,110.1
Mar-21,112.3,112.4,110.7
Apr-21,114.4,114.3,112.9
May-21,116,116.6,113.4
Jun-21,116.7,117.9,112.9
Jul-21,117.2,118.6,113
Aug-21,118,119.5,113.5
Sep-21,118.5,120.1,113.8
Oct-21,119.6,121.4,114.4
Nov-21,120.5,122.4,115.1
Dec-21,120.8,122.9,115.2
Jan-22,121.9,124.3,115.5
Feb-22,123.2,126,116.1
Mar-22,124.7,127.9,116.5
Apr-22,125.1,128.6,116.7
May-22,125.7,129.4,116.8
Jun-22,125.9,129.6,117
Jul-22,126,129.6,117.2
Aug-22,126.1,129.8,117.2
Sep-22,126,129.7,117.1
Oct-22,125.7,129.4,116.7
Nov-22,125.5,129.3,116.6
Dec-22,125.5,129.2,116.6
